Sat.ElapsedDays           Sat.A1Gregorian            Sat.SunICRF.VX            Sat.SunICRF.VY            Sat.SunICRF.VZ            Sat.SunICRF.X             Sat.SunICRF.Y             Sat.SunICRF.Z             Mars.SunICRF.VX           Mars.SunICRF.VY           Mars.SunICRF.VZ           Mars.SunICRF.X            Mars.SunICRF.Y            Mars.SunICRF.Z            Earth.SunICRF.VX          Earth.SunICRF.VY          Earth.SunICRF.VZ          Earth.SunICRF.X           Earth.SunICRF.Y           Earth.SunICRF.Z           
23.30679159722422         12 Aug 2023 07:22:23.828   18.90930558474611         20.40829178292604         8.912456545399294         114345489.1739539         -91316544.98429462        -39518384.0534084         4.500560659871596         -19.85973358131666        -9.230665444173777        -242516445.7284307        -35467899.28093736        -9725094.535908747        19.05705019455132         20.53463877180366         8.900953919617923         114478355.2235297         -91200942.30797969        -39535845.70387278        
24.1334894907377          13 Aug 2023 03:12:50.526   18.59139869621101         20.64965197331309         9.01926751737475          115684787.5613642         -89850205.26912257        -38877972.14149168        4.656299591285118         -19.8364866946979         -9.224204426142416        -242189423.3191299        -36885589.81158753        -10384182.30988961        18.74340807272172         20.78265655013793         9.008665706665701         115828360.9931561         -89725339.52116407        -38896223.01899328        
24.13348949074134         13 Aug 2023 03:12:50.526   18.59139869620983         20.64965197331397         9.019267517375141         115684787.5613691         -89850205.26911715        -38877972.1414893         4.656299591285803         -19.83648669469779        -9.224204426142386        -242189423.3191284        -36885589.81159377        -10384182.30989252        18.74340807272033         20.78265655013902         9.008665706666172         115828360.993162          -89725339.52115755        -38896223.01899045        
25.13348949074134         14 Aug 2023 03:12:50.526   18.20261019065808         20.93577568482371         9.146089770817394         117274328.1986871         -88053673.49056154        -38093210.75264336        4.844622629884134         -19.80711505514962        -9.215813225988999        -241778982.9491861        -38598203.26779303        -11180795.55773623        18.35850513060702         21.07725456749376         9.136619003744361         117431206.6203538         -87916948.14092368        -38112328.10686302        
26.13348949074134         15 Aug 2023 03:12:50.526   17.80838808900007         21.21612432613573         9.270388280894171         118830042.08768           -86232669.55207154        -37297600.59754694        5.032866398478262         -19.77637131842986        -9.206790507085895        -241352274.8195238        -40308219.77307218        -11976656.49014668        17.96770762852621         21.36577159201799         9.261935217763458         119000540.876565          -86083365.07383674        -37317491.2925883         
27.13348949074134         16 Aug 2023 03:12:50.526   17.40882916682527         21.49061663848814         9.392126996105926         120351463.9399419         -84387695.95113498        -36491361.25396662        5.221020743866655         -19.74425348888453        -9.19713507345956         -240909306.2169199        -42015520.68739457        -12771710.51383492        17.57117696415693         21.6480531064019          9.384537545611455         120535861.3515844         -84225122.48527813        -36511943.7409358         
28.13348949074134         17 Aug 2023 03:12:50.526   17.00403137295046         21.75917261322291         9.511270435290131         121838136.8774315         -82519262.103898          -35674715.50664918        5.409075453224714         -19.7107595883804         -9.186845763810249        -240450085.3077611        -43719987.19773503        -13565902.93937791        17.16908714739526         21.92395620711461         9.504354737394907         122036680.1310307         -82342765.34766877        -35695923.13313008        
28.96018739583451         17 Aug 2023 23:03:17.225   16.66550067505177         21.97664889605756         9.607781604889038         123040609.381809          -80957284.86465721        -34991899.27415529        5.564457348539774         -19.68202984008704        -9.177860183137058        -240058183.2317646        -45126841.28129406        -14221770.61832081        16.83261438409803         22.14713547008321         9.601257855716325         123251016.3183495         -80768812.4040419         -35013585.92801317        
29.96018739583451         18 Aug 2023 23:03:17.225   16.25224103377766         22.23364716866119         9.721868847393155         124462691.8642873         -79047356.03836636        -34156839.09933281        5.752303485403738         -19.64601726148102        -9.166410018436624        -239569298.2759584        -46825822.85977692        -15014247.62442548        16.42085533326927         22.41106010445878         9.715823926838093         124687603.0202619         -78843850.40307701        -34179066.91223793        
30.96018739583451         19 Aug 2023 23:03:17.225   15.83402605679193         22.48448948297244         9.833263337782117         125848853.9060905         -77115487.92632706        -33312037.93253413        5.940020790124183         -19.60862319383354        -9.154322730692327        -239064188.9050332        -48521633.27882715        -15805707.83247005        16.00408570563045         22.66827283863832         9.82743799528234          126088395.7956832         -76896374.53500417        -33334776.6219837         
