Sat.EarthMJ2000Eq.VX      Sat.EarthMJ2000Eq.VY      Sat.EarthMJ2000Eq.VZ      Sat.EarthMJ2000Eq.X       Sat.EarthMJ2000Eq.Y       Sat.EarthMJ2000Eq.Z       Sat.UTCGregorian           
-4.586248637388474        1.851945274693436         -0.0004839614824910715    5916.733083212047         15193.97841316212         -5.005342902298814        13 Oct 2022 01:59:15.847   
-4.74997039970173         1.370385329905986         -0.0003259778584249741    4329.197245934097         15741.85889857907         -5.143051011075258        13 Oct 2022 02:04:55.624   
-4.863257009456974        0.874881586514932         -0.0001647130417238513    2691.445126963373         16124.32710025831         -5.226633137925553        13 Oct 2022 02:10:36.050   
-4.924969092171629        0.3707075816134421        -1.882434261824752e-06    1020.704983288822         16336.89000171553         -5.255055042609341        13 Oct 2022 02:16:17.125   
-4.934518495401764        -0.1367916438382017       0.0001607896092550269     -665.4639657836345        16376.84876991573         -5.227864587322306        13 Oct 2022 02:21:58.863   
-4.891870403774305        -0.6422254764449999       0.0003215780676244583     -2349.252845260125        16243.31474023365         -5.14519463788581         13 Oct 2022 02:27:41.269   
-4.797546682348228        -1.140235087490762        0.0004787819609983758     -4012.855266744451        15937.23109122238         -5.007763766157729        13 Oct 2022 02:33:24.353   
-4.652618077535141        -1.625549801712412        0.0006307420192951576     -5638.650810615473        15461.35812350783         -4.816866983223475        13 Oct 2022 02:39:08.130   
-4.458694604145207        -2.093034847348409        0.0007758555007650492     -7209.360386538651        14820.25339145836         -4.574365563688202        13 Oct 2022 02:44:52.612   
-4.217906507369026        -2.537754015370885        0.0009125955281353608     -8708.252592098603        14020.22173790659         -4.282666112646595        13 Oct 2022 02:50:37.815   
-3.932881970572109        -2.955019439027654        0.001039526207773067      -10119.30844148413        13069.25529452994         -3.944697503784582        13 Oct 2022 02:56:23.755   
-3.606716214919485        -3.34044501118289         0.001155318711361723      -11427.40011333674        11976.94566440885         -3.563878679049163        13 Oct 2022 03:02:10.450   
-3.242934693325551        -3.689994098734068        0.001258765410806332      -12618.45268954242        10754.37689063446         -3.144080796987095        13 Oct 2022 03:07:57.926   
-2.845465313917656        -4.000011805903856        0.00134878930827174       -13679.55556964002        9414.049336312237         -2.689600567192415        13 Oct 2022 03:13:46.199   
-2.418589665670892        -4.267272817118862        0.001424458011027838      -14599.12942154954        7969.733447090672         -2.205109893653006        13 Oct 2022 03:19:35.288   
-1.966889799872667        -4.489018068655875        0.001484994086196214      -15367.05841545913        6436.307948028601         -1.695601413460165        13 Oct 2022 03:25:25.219   
-1.49520165057644         -4.662978843731624        0.001529781609689651      -15974.78238684177        4829.619783646252         -1.166341989962083        13 Oct 2022 03:31:16.016   
-1.008571587136637        -4.787397354103942        0.001558371732748322      -16415.37962785751        3166.354077400546         -0.6228296611225221       13 Oct 2022 03:37:07.703   
-0.5121940448147905       -4.861049065864443        0.001570488441370394      -16683.65910115296        1463.838308931253         -0.0707292804072619       13 Oct 2022 03:43:00.299   
-0.01133975364211407      -4.883253945430373        0.001566030621466058      -16776.21803589884        -260.1884035896706        0.4842022498397965        13 Oct 2022 03:48:53.840   
0.4886510692618989        -4.853879478771857        0.001545073053215815      -16691.47175325373        -1987.584813036122        1.036119221314723         13 Oct 2022 03:54:48.334   
0.9824939593663179        -4.773343479666974        0.001507864656383855      -16429.68894741626        -3700.22759424068         1.57922219264898          13 Oct 2022 04:00:43.815   
1.464955647663444         -4.642609835612315        0.001454827515145635      -15993.00053197256        -5379.987403338033        2.107750175684088         13 Oct 2022 04:06:40.295   
1.930964921660898         -4.463167144054913        0.001386547783700727      -15385.35459627151        -7009.108016249817        2.616100923358956         13 Oct 2022 04:12:37.807   
2.375618656181563         -4.237021670343226        0.001303773617071067      -14612.51846367341        -8570.225560111718        3.098837013736362         13 Oct 2022 04:18:36.368   
2.794256740149646         -3.966669809612697        0.00120740494364618       -13682.01260509985        -10046.63136647574        3.550768593006022         13 Oct 2022 04:24:35.998   
3.182507203144768         -3.65507080286888         0.001098483993160616      -12603.0442020049         -11422.43569865201        3.967004442755982         13 Oct 2022 04:30:36.714   
3.536336399226618         -3.305608860319955        0.0009781822840577937     -11386.40303118218        -12682.75384098732        4.343009458941871         13 Oct 2022 04:36:38.536   
3.852080058036753         -2.922064707920856        0.0008477910390939478     -10044.38841097541        -13813.82868145489        4.674642587367352         13 Oct 2022 04:42:41.478   
4.126490409846473         -2.508565449040523        0.000708704227170023      -8590.65856296003         -14803.21462567206        4.958212722422465         13 Oct 2022 04:48:45.554   
4.356763521123216         -2.06954523557767         0.0005624054785494884     -7040.114656031839        -15639.8950760823         5.190514178582842         13 Oct 2022 04:54:50.777   
4.540569086431216         -1.609696009528952        0.0004104517020763733     -5408.746856862479        -16314.41217917952        5.368865273396355         13 Oct 2022 05:00:57.157   
4.676074977613235         -1.133910783539644        0.0002544543701184544     -3713.449881413405        -16818.98122414305        5.491141314922684         13 Oct 2022 05:07:04.705   
4.761960611506942         -0.647239549629985        9.60650639960787e-05      -1971.879122927119        -17147.56691588241        5.555796323986266         13 Oct 2022 05:13:13.431   
4.797430250221076         -0.154841861636772        -6.30400941033122e-05     -202.2911187796001        -17295.96113569132        5.561884876325681         13 Oct 2022 05:19:23.334   
4.782221970636432         0.3380902296347806        -0.0002211854844491782    1576.727297839394         -17261.84762527332        5.509077122165181         13 Oct 2022 05:25:34.423   
4.716605432282021         0.8263641193161411        -0.0003767063086237251    3346.372801507541         -17044.82489610324        5.397664050479096         13 Oct 2022 05:31:46.700   
4.601381539125175         1.304841140187553         -0.0005279662256774379    5087.824306509264         -16646.43669925203        5.228563154867516         13 Oct 2022 05:38:00.158   
4.437869229483299         1.768508882905965         -0.0006733804498222333    6782.511674693303         -16070.15585437474        5.00330741395705          13 Oct 2022 05:44:14.795   
4.227888095883278         2.212525638833206         -0.000811429800281626     8412.288096974124         -15321.35010411439        4.724030703248333         13 Oct 2022 05:50:30.614   
3.973745417660768         2.632255678091844         -0.0009406719047627602    9959.572103108623         -14407.26177955932        4.393458313677968         13 Oct 2022 05:56:47.603   
3.678201506666519         3.023337647638495         -0.001059762559587102     11407.61485735839         -13336.90713382511        4.0148686207737           13 Oct 2022 06:03:05.759   
3.344446113022948         3.381715750879207         -0.001167465359957071     12740.63413139404         -12121.01157015368        3.592069383868675         13 Oct 2022 06:09:25.074   
2.976066336072994         3.703682186980024         -0.001262664744604116     13943.99200922502         -10771.91119977254        3.129362132994576         13 Oct 2022 06:15:45.535   
2.576998414011088         3.985924111729371         -0.001344380111555411     15004.39211664255         -9303.391505932123        2.631485797726719         13 Oct 2022 06:22:07.136   
2.151498805657751         4.225545906504631         -0.00141177241049416      15909.98636477585         -7730.592736858546        2.103583907923717         13 Oct 2022 06:28:29.863   
1.704082038173896         4.420109379469189         -0.001464155728525367     16650.55011067946         -6069.789202026879        1.551129539753227         13 Oct 2022 06:34:53.711   
1.239508110104381         4.56764263602662          -0.001500999909397121     17217.53951126827         -4338.348330129786        0.979910908239451         13 Oct 2022 06:41:18.656   
0.7626811113590661        4.666681059588545         -0.001521941461545458     17604.27148951279         -2554.356432199274        0.3959066757033135        13 Oct 2022 06:47:44.695   
0.2786464203311846        4.71626423028925          -0.00152678253018761      17805.93543280699         -736.6075286156681        -0.1947178344076405       13 Oct 2022 06:54:11.810   
-0.2074959385498648       4.715954449565451         -0.001515494895803455     17819.68738228456         1095.723403699409         -0.7857180661259391       13 Oct 2022 07:00:39.993   
-0.6906191333668825       4.665837735455016         -0.001488219676998544     17644.67548172716         2923.190006798016         -1.370806074183198        13 Oct 2022 07:07:09.228   
-1.165643811932917        4.56652328409894          -0.001445265473747137     17282.05960140322         4726.361198522187         -1.943743327889883        13 Oct 2022 07:13:39.506   
-1.627575682479379        4.419137835886824         -0.001387105721302602     16735.00906484643         6485.971639593275         -2.498389119899605        13 Oct 2022 07:20:10.814   
-2.071572914666348        4.225309888850918         -0.001314372096056455     16008.66107530958         8183.187045319536         -3.028785108490969        13 Oct 2022 07:26:43.146   
-2.492983878299512        3.987155305498232         -0.001227849068023547     15110.08185807873         9799.758350609514         -3.529204113521287        13 Oct 2022 07:33:16.494   
-2.887395883134559        3.70725764452928          -0.001128466516448213     14048.20658458601         11318.21861930677         -3.994212231648821        13 Oct 2022 07:39:50.847   
-3.250693617147712        3.388632962417115         -0.001017287129412616     12833.71855166041         12722.11864833803         -4.418742059775758        13 Oct 2022 07:46:26.204   
-3.579093831729612        3.034701153588239         -0.0008954964754648556    11478.95113857261         13996.17234287576         -4.798137397154671        13 Oct 2022 07:53:02.564   
-3.869178263912189        2.64925972177139          -0.000764393917396977     9997.798147074534         15126.39539674366         -5.128196034625339        13 Oct 2022 07:59:39.920   
-4.117946199484863        2.236425159441047         -0.0006253726305055969    8405.498594811292         16100.32118974784         -5.405234586839979        13 Oct 2022 08:06:18.277   
-4.32283181608766         1.80060681893212          -0.0004799109262896585    6718.544821838082         16907.08059040383         -5.626112362490269        13 Oct 2022 08:12:57.633   
-4.48173805391589         1.346454215685556         -0.0003295546224977365    4954.487677305243         17537.54667489364         -5.788273842742008        13 Oct 2022 08:19:37.989   
-4.593063235785542        0.8787872132171746        -0.0001758940424582863    3131.673415242635         17984.45276103791         -5.889781017193386        13 Oct 2022 08:26:19.362   
-4.655704609073668        0.4025887831997375        -2.056174998132605e-05    1269.223150887427         18242.41951726736         -5.92932212282627         13 Oct 2022 08:33:01.751   
-4.66908249292248         -0.07709161219060948      0.0001347990817722        -613.3364947379896        18308.06556038382         -5.906239215707815        13 Oct 2022 08:39:45.170   
-4.633139981451482        -0.5551679771917989       0.0002885442283206168     -2496.184430022039        18180.02190199629         -5.820530815182432        13 Oct 2022 08:46:29.631   
-4.548345948103971        -1.026574813167606        0.000439046824704623      -4359.42263380849         17858.96097790033         -5.672856802187227        13 Oct 2022 08:53:15.145   
-4.415686816728313        -1.486335664325804        0.0005847192813948447     -6183.341176927591        17347.583002138           -5.464528441029738        13 Oct 2022 09:00:01.732   
-4.236655377471383        -1.929603997984055        0.0007240262281565449     -7948.57594357125         16650.59094926836         -5.197497268960767        13 Oct 2022 09:06:49.415   
-4.01323595239376         -2.351713484319536        0.0008555004551004374     -9636.305006560737        15774.65253385003         -4.874338877534705        13 Oct 2022 09:13:38.215   
-3.747887391222597        -2.748223997163671        0.0009777574639789469     -11228.43004706188        14728.35471408469         -4.498234620812576        13 Oct 2022 09:20:28.146   
-3.443502383603181        -3.114990499490196        0.001089516930303128      -12707.8526129893         13522.06542130245         -4.072921037371394        13 Oct 2022 09:27:19.240   
-3.103388985981492        -3.448184258636029        0.001189609289665587      -14058.56230545985        12167.88294921473         -3.602672017939254        13 Oct 2022 09:34:11.521   
-2.731227072339547        -3.744344793986351        0.001276991734690628      -15265.85133373567        10679.48665104603         -3.092245993357292        13 Oct 2022 09:41:05.015   
-2.331034486294619        -4.000410677713639        0.001350757623166694      -16316.44739558946        9072.025788007943         -2.546847314225128        13 Oct 2022 09:47:59.747   
-1.907105905149929        -4.213762118392054        0.00141014910452753       -17198.69867653602        7361.898204011957         -1.972050624933973        13 Oct 2022 09:54:55.756   
-1.463999864552979        -4.382229188932325        0.001454559742474934      -17902.62155036447        5566.721688300381         -1.373790783019847        13 Oct 2022 10:01:53.059   
-1.006444151835055        -4.504135960171995        0.001483546907934856      -18420.10068861192        3704.974435125461         -0.758241876405674        13 Oct 2022 10:08:51.697   
-0.5393254625485814       -4.578299459926471        0.001496831473434263      -18744.90597227789        1795.973646111519         -0.1318099889189105       13 Oct 2022 10:15:51.695   
